Wavelength,Intensity
2.877091772716639184e+02,8.492004394531250000e+02
2.881970060243619400e+02,8.568002929687500000e+02
2.886849458436226428e+02,8.830003051757812500e+02
2.891729967294460835e+02,8.802003173828125000e+02
2.896611586818322053e+02,8.324003295898437500e+02
2.901494317007811219e+02,8.194003295898437500e+02
2.906378157862927196e+02,8.564005126953125000e+02
2.911263109383671122e+02,8.700006103515625000e+02
2.916149171570041858e+02,8.582004394531250000e+02
2.921036344422039974e+02,8.444003295898437500e+02
2.925924627939665470e+02,8.892006225585937500e+02
2.930814022122917777e+02,8.782006835937500000e+02
2.935704526971798032e+02,8.250003662109375000e+02
2.940596142486305098e+02,7.958002929687500000e+02
2.945488868666439544e+02,7.878002929687500000e+02
2.950382705512201369e+02,7.882003784179687500e+02
2.955277653023590574e+02,7.668002929687500000e+02
2.960173711200607158e+02,7.820004272460937500e+02
2.965070880043250554e+02,7.710001831054687500e+02
2.969969159551521329e+02,7.712003173828125000e+02
2.974868549725420053e+02,7.538001708984375000e+02
2.979769050564945019e+02,7.332003173828125000e+02
2.984670662070097933e+02,7.310003662109375000e+02
2.989573384240878227e+02,7.308002929687500000e+02
2.994477217077285331e+02,7.250001831054687500e+02
2.999382160579320384e+02,7.232001342773437500e+02
3.004288214746982248e+02,7.328001098632812500e+02
3.009195379580271492e+02,7.386001586914062500e+02
3.014103655079188115e+02,7.262001342773437500e+02
3.019013041243731550e+02,7.134001464843750000e+02
3.023923538073902932e+02,7.212000122070312500e+02
3.028835145569701126e+02,7.245999755859375000e+02
3.033747863731126699e+02,7.230000000000000000e+02
3.038661692558179652e+02,6.918001098632812500e+02
3.043576632050859985e+02,7.104002685546875000e+02
3.048492682209167697e+02,7.340001831054687500e+02
3.053409843033102220e+02,7.300001831054687500e+02
3.058328114522664691e+02,7.286001586914062500e+02
3.063247496677853974e+02,7.422000732421875000e+02
3.068167989498670636e+02,7.422000122070312500e+02
3.073089592985114678e+02,7.296000366210937500e+02
3.078012307137186099e+02,7.636000366210937500e+02
3.082936131954884331e+02,7.690000610351562500e+02
3.087861067438209943e+02,7.958000488281250000e+02
3.092787113587163503e+02,7.874000854492187500e+02
3.097714270401743875e+02,7.550002441406250000e+02
3.102642537881951057e+02,7.278002929687500000e+02
3.107571916027786187e+02,7.406002807617187500e+02
3.112502404839248697e+02,7.770000610351562500e+02
3.117434004316338019e+02,7.881998291015625000e+02
3.122366714459054720e+02,7.681997680664062500e+02
3.127300535267398800e+02,7.509998168945312500e+02
3.132235466741370260e+02,7.227997436523437500e+02
3.137171508880969100e+02,7.261997680664062500e+02
3.142108661686195319e+02,7.233999023437500000e+02
3.147046925157048349e+02,7.388002929687500000e+02
3.151986299293528759e+02,7.326001586914062500e+02
3.156926784095636549e+02,7.188002319335937500e+02
3.161868379563371718e+02,7.390002441406250000e+02
3.166811085696734267e+02,7.536001586914062500e+02
3.171754902495723627e+02,7.314000854492187500e+02
3.176699829960340935e+02,7.106000366210937500e+02
3.181645868090585054e+02,7.111999511718750000e+02
3.186593016886456553e+02,7.203999633789062500e+02
3.191541276347955431e+02,7.223998413085937500e+02
3.196490646475081689e+02,7.406002197265625000e+02
3.201441127267834759e+02,7.236002197265625000e+02
3.206392718726215776e+02,7.022001342773437500e+02
3.211345420850223604e+02,6.978002319335937500e+02
3.216299233639858812e+02,6.972001342773437500e+02
3.221254157095121400e+02,7.286002197265625000e+02
3.226210191216011367e+02,7.290001831054687500e+02
3.231167336002528145e+02,7.276001586914062500e+02
3.236125591454672872e+02,7.304001464843750000e+02
3.241084957572444409e+02,7.220002441406250000e+02
3.246045434355843327e+02,7.270003051757812500e+02
3.251007021804869623e+02,7.082000732421875000e+02
3.255969719919523300e+02,7.121999511718750000e+02
3.260933528699803787e+02,7.107999267578125000e+02
3.265898448145712223e+02,7.059998779296875000e+02
3.270864478257247470e+02,6.999998168945312500e+02
3.275831619034410096e+02,7.202002563476562500e+02
3.280799870477200102e+02,7.246004028320312500e+02
3.285769232585617488e+02,7.246003417968750000e+02
3.290739705359661684e+02,7.256003417968750000e+02
3.295711288799333829e+02,7.220002441406250000e+02
3.300683982904632785e+02,7.252002563476562500e+02
3.305657787675559121e+02,7.368003540039062500e+02
3.310632703112112836e+02,7.536004028320312500e+02
3.315608729214293930e+02,7.292003173828125000e+02
3.320585865982102405e+02,7.234002075195312500e+02
3.325564113415537690e+02,7.112001342773437500e+02
3.330543471514600924e+02,7.070001831054687500e+02
3.335523940279290969e+02,7.180003662109375000e+02
3.340505519709607825e+02,7.206003417968750000e+02
3.345488209805552628e+02,7.384003295898437500e+02
3.350472010567124812e+02,7.330003051757812500e+02
3.355456921994324375e+02,7.145999755859375000e+02
3.360442944087150750e+02,7.056002807617187500e+02
3.365430076845604503e+02,7.080001220703125000e+02
3.370418320269685637e+02,7.140000000000000000e+02
3.375407674359394150e+02,7.242000732421875000e+02
3.380398139114729474e+02,7.384000854492187500e+02
3.385389714535692747e+02,7.404002685546875000e+02
3.390382400622282830e+02,7.630002441406250000e+02
3.395376197374500293e+02,7.230003051757812500e+02
3.400371104792345136e+02,7.172005004882812500e+02
3.405367122875817358e+02,7.290003051757812500e+02
3.410364251624916960e+02,7.334002685546875000e+02
3.415362491039643373e+02,7.440001831054687500e+02
3.420361841119997734e+02,7.454000244140625000e+02
3.425362301865978907e+02,7.440001220703125000e+02
3.430363873277587459e+02,7.470000610351562500e+02
3.435366555354822822e+02,7.722001342773437500e+02
3.440370348097686133e+02,7.567999267578125000e+02
3.445375251506176824e+02,7.073998413085937500e+02
3.450381265580294325e+02,6.775999145507812500e+02
3.455388390320039207e+02,6.751998901367187500e+02
3.460396625725411468e+02,6.997999267578125000e+02
3.465405971796411109e+02,7.194002075195312500e+02
3.470416428533038129e+02,7.262000732421875000e+02
3.475427995935292529e+02,7.260001220703125000e+02
3.480440674003173740e+02,7.298001708984375000e+02
3.485454462736682331e+02,7.168003540039062500e+02
3.490469362135818301e+02,7.100004882812500000e+02
3.495485372200581651e+02,7.376005249023437500e+02
3.500502492930971812e+02,7.714005737304687500e+02
3.505520724326989921e+02,7.464005737304687500e+02
3.510540066388634841e+02,6.902002563476562500e+02
3.515560519115907709e+02,7.362006225585937500e+02
3.520582082508807389e+02,7.506001586914062500e+02
3.525604756567333880e+02,7.624002685546875000e+02
3.530628541291488318e+02,7.352000732421875000e+02
3.535653436681270136e+02,7.226000976562500000e+02
3.540679442736678766e+02,7.234001464843750000e+02
3.545706559457714775e+02,7.446002197265625000e+02
3.550734786844378732e+02,7.494001464843750000e+02
3.555764124896668932e+02,7.400000000000000000e+02
3.560794573614587080e+02,7.304001464843750000e+02
3.565826132998132607e+02,6.996001586914062500e+02
3.570858803047304946e+02,6.816002197265625000e+02
3.575892583762104664e+02,6.838004150390625000e+02
3.580927475142531762e+02,7.234005737304687500e+02
3.585963477188586239e+02,7.348004150390625000e+02
3.591000589900268096e+02,7.194004516601562500e+02
3.596038813277576764e+02,7.274002075195312500e+02
3.601078147320513381e+02,7.610003051757812500e+02
3.606118592029076808e+02,7.678004150390625000e+02
3.611160147403267615e+02,7.498003540039062500e+02
3.616202813443085802e+02,7.404004516601562500e+02
3.621246590148531368e+02,7.462003784179687500e+02
3.626291477519604314e+02,7.648001708984375000e+02
3.631337475556304071e+02,7.642001953125000000e+02
3.636384584258631207e+02,7.270003051757812500e+02
3.641432803626585724e+02,7.242003784179687500e+02
3.646482133660167619e+02,7.472006835937500000e+02
3.651532574359376895e+02,7.368005981445312500e+02
3.656584125724212981e+02,7.036002197265625000e+02
