Wavelength,Intensity
2.906378157862927196e+02,2.223998565673828125e+02
2.911263109383671122e+02,2.339998474121093750e+02
2.916149171570041858e+02,2.341998748779296875e+02
2.921036344422039974e+02,2.361998596191406250e+02
2.925924627939665470e+02,2.495998382568359375e+02
2.930814022122917777e+02,2.571998291015625000e+02
2.935704526971798032e+02,2.299998626708984375e+02
2.940596142486305098e+02,2.007999114990234375e+02
2.945488868666439544e+02,2.017999114990234375e+02
2.950382705512201369e+02,1.971999206542968750e+02
2.955277653023590574e+02,1.921999206542968750e+02
2.960173711200607158e+02,2.011998901367187500e+02
2.965070880043250554e+02,2.003999328613281250e+02
2.969969159551521329e+02,1.913999328613281250e+02
2.974868549725420053e+02,1.755999603271484375e+02
2.979769050564945019e+02,1.721999511718750000e+02
2.984670662070097933e+02,1.599999694824218750e+02
2.989573384240878227e+02,1.483999938964843750e+02
2.994477217077285331e+02,1.426000061035156250e+02
2.999382160579320384e+02,1.541999511718750000e+02
3.004288214746982248e+02,1.547999572753906250e+02
3.009195379580271492e+02,1.565999603271484375e+02
3.014103655079188115e+02,1.611999816894531250e+02
3.019013041243731550e+02,1.643999633789062500e+02
3.023923538073902932e+02,1.613999938964843750e+02
3.028835145569701126e+02,1.527999877929687500e+02
3.033747863731126699e+02,1.630000000000000000e+02
3.038661692558179652e+02,1.511999969482421875e+02
3.043576632050859985e+02,1.479999694824218750e+02
3.048492682209167697e+02,1.547999572753906250e+02
3.053409843033102220e+02,1.681999511718750000e+02
3.058328114522664691e+02,1.747999725341796875e+02
3.063247496677853974e+02,1.637999877929687500e+02
3.068167989498670636e+02,1.355999908447265625e+02
3.073089592985114678e+02,1.249999923706054688e+02
3.078012307137186099e+02,1.655999908447265625e+02
3.082936131954884331e+02,1.569999694824218750e+02
3.087861067438209943e+02,1.587999725341796875e+02
3.092787113587163503e+02,1.613999481201171875e+02
3.097714270401743875e+02,1.659999389648437500e+02
3.102642537881951057e+02,1.651999359130859375e+02
3.107571916027786187e+02,1.803999328613281250e+02
3.112502404839248697e+02,1.807999877929687500e+02
3.117434004316338019e+02,1.610000762939453125e+02
3.122366714459054720e+02,1.674000549316406250e+02
3.127300535267398800e+02,1.668000335693359375e+02
3.132235466741370260e+02,1.462000579833984375e+02
3.137171508880969100e+02,1.438000640869140625e+02
3.142108661686195319e+02,1.546000518798828125e+02
3.147046925157048349e+02,1.681999664306640625e+02
3.151986299293528759e+02,1.781999511718750000e+02
3.156926784095636549e+02,1.617999725341796875e+02
3.161868379563371718e+02,1.469999694824218750e+02
3.166811085696734267e+02,1.539999694824218750e+02
3.171754902495723627e+02,1.486000061035156250e+02
3.176699829960340935e+02,1.422000122070312500e+02
3.181645868090585054e+02,1.460000152587890625e+02
3.186593016886456553e+02,1.506000061035156250e+02
3.191541276347955431e+02,1.604000091552734375e+02
3.196490646475081689e+02,1.545999450683593750e+02
3.201441127267834759e+02,1.571999969482421875e+02
3.206392718726215776e+02,1.633999786376953125e+02
3.211345420850223604e+02,1.611999511718750000e+02
3.216299233639858812e+02,1.673999633789062500e+02
3.221254157095121400e+02,1.639999389648437500e+02
3.226210191216011367e+02,1.629999542236328125e+02
3.231167336002528145e+02,1.805999603271484375e+02
3.236125591454672872e+02,1.653999633789062500e+02
3.241084957572444409e+02,1.499999847412109375e+02
3.246045434355843327e+02,1.470000152587890625e+02
3.251007021804869623e+02,1.454000396728515625e+02
3.255969719919523300e+02,1.434000396728515625e+02
3.260933528699803787e+02,1.562000579833984375e+02
3.265898448145712223e+02,1.600000457763671875e+02
3.270864478257247470e+02,1.740000457763671875e+02
3.275831619034410096e+02,1.795999603271484375e+02
