Wavelength,Intensity
3.122366714459054720e+02,1.100000000000000000e+01
3.127300535267398800e+02,1.100000000000000000e+01
3.132235466741370260e+02,1.400000000000000000e+01
3.137171508880969100e+02,1.600000000000000000e+01
3.142108661686195319e+02,2.100000000000000000e+01
3.147046925157048349e+02,2.200000000000000000e+01
3.151986299293528759e+02,2.000000000000000000e+01
3.156926784095636549e+02,1.900000000000000000e+01
3.161868379563371718e+02,1.400000000000000000e+01
3.166811085696734267e+02,1.100000000000000000e+01
3.171754902495723627e+02,1.200000000000000000e+01
3.176699829960340935e+02,1.100000000000000000e+01
3.181645868090585054e+02,1.400000000000000000e+01
3.186593016886456553e+02,1.300000000000000000e+01
3.191541276347955431e+02,1.100000000000000000e+01
3.196490646475081689e+02,1.100000000000000000e+01
3.201441127267834759e+02,1.200000000000000000e+01
3.206392718726215776e+02,1.100000000000000000e+01
3.211345420850223604e+02,9.000000000000000000e+00
3.216299233639858812e+02,7.000000000000000000e+00
3.221254157095121400e+02,4.000000000000000000e+00
3.226210191216011367e+02,3.000000000000000000e+00
3.231167336002528145e+02,5.000000000000000000e+00
3.236125591454672872e+02,5.000000000000000000e+00
3.241084957572444409e+02,1.700000000000000000e+01
3.246045434355843327e+02,1.800000000000000000e+01
3.251007021804869623e+02,2.400000000000000000e+01
3.255969719919523300e+02,2.600000000000000000e+01
3.260933528699803787e+02,3.200000000000000000e+01
3.265898448145712223e+02,3.300000000000000000e+01
3.270864478257247470e+02,2.100000000000000000e+01
3.275831619034410096e+02,1.700000000000000000e+01
3.280799870477200102e+02,2.500000000000000000e+01
3.285769232585617488e+02,2.500000000000000000e+01
3.290739705359661684e+02,2.300000000000000000e+01
3.295711288799333829e+02,2.000000000000000000e+01
3.300683982904632785e+02,1.600000000000000000e+01
3.305657787675559121e+02,1.600000000000000000e+01
3.310632703112112836e+02,1.000000000000000000e+01
3.315608729214293930e+02,1.000000000000000000e+01
3.320585865982102405e+02,1.200000000000000000e+01
3.325564113415537690e+02,1.100000000000000000e+01
3.330543471514600924e+02,1.600000000000000000e+01
3.335523940279290969e+02,1.800000000000000000e+01
3.340505519709607825e+02,2.400000000000000000e+01
3.345488209805552628e+02,2.500000000000000000e+01
3.350472010567124812e+02,2.000000000000000000e+01
3.355456921994324375e+02,1.800000000000000000e+01
3.360442944087150750e+02,2.400000000000000000e+01
3.365430076845604503e+02,2.400000000000000000e+01
3.370418320269685637e+02,2.100000000000000000e+01
3.375407674359394150e+02,2.100000000000000000e+01
3.380398139114729474e+02,1.300000000000000000e+01
3.385389714535692747e+02,1.200000000000000000e+01
3.390382400622282830e+02,1.400000000000000000e+01
3.395376197374500293e+02,1.400000000000000000e+01
3.400371104792345136e+02,1.500000000000000000e+01
3.405367122875817358e+02,1.500000000000000000e+01
3.410364251624916960e+02,1.900000000000000000e+01
3.415362491039643373e+02,2.000000000000000000e+01
3.420361841119997734e+02,6.000000000000000000e+00
3.425362301865978907e+02,6.000000000000000000e+00
3.430363873277587459e+02,4.000000000000000000e+00
3.435366555354822822e+02,7.000000000000000000e+00
3.440370348097686133e+02,7.000000000000000000e+00
3.445375251506176824e+02,7.000000000000000000e+00
3.450381265580294325e+02,7.000000000000000000e+00
3.455388390320039207e+02,7.000000000000000000e+00
3.460396625725411468e+02,5.000000000000000000e+00
3.465405971796411109e+02,4.000000000000000000e+00
3.470416428533038129e+02,2.000000000000000000e+00
3.475427995935292529e+02,2.000000000000000000e+00
3.480440674003173740e+02,8.000000000000000000e+00
3.485454462736682331e+02,8.000000000000000000e+00
3.490469362135818301e+02,8.000000000000000000e+00
3.495485372200581651e+02,8.000000000000000000e+00
3.500502492930971812e+02,6.000000000000000000e+00
3.505520724326989921e+02,6.000000000000000000e+00
3.510540066388634841e+02,3.000000000000000000e+00
3.515560519115907709e+02,5.000000000000000000e+00
3.520582082508807389e+02,6.000000000000000000e+00
