Wavelength,Intensity
3.211345420850223604e+02,2.578000793457031250e+02
3.216299233639858812e+02,2.692000427246093750e+02
3.221254157095121400e+02,2.600000915527343750e+02
3.226210191216011367e+02,2.539999847412109375e+02
3.231167336002528145e+02,2.622000427246093750e+02
3.236125591454672872e+02,2.764000244140625000e+02
3.241084957572444409e+02,2.450000610351562500e+02
3.246045434355843327e+02,2.508000640869140625e+02
3.251007021804869623e+02,2.630000915527343750e+02
3.255969719919523300e+02,2.498000183105468750e+02
3.260933528699803787e+02,2.111999816894531250e+02
3.265898448145712223e+02,2.164000091552734375e+02
3.270864478257247470e+02,2.637999877929687500e+02
3.275831619034410096e+02,2.820000305175781250e+02
3.280799870477200102e+02,2.820000915527343750e+02
3.285769232585617488e+02,2.462001037597656250e+02
3.290739705359661684e+02,2.130000762939453125e+02
3.295711288799333829e+02,1.919999542236328125e+02
3.300683982904632785e+02,2.120000305175781250e+02
3.305657787675559121e+02,2.478000183105468750e+02
3.310632703112112836e+02,2.704000244140625000e+02
3.315608729214293930e+02,2.332000427246093750e+02
3.320585865982102405e+02,2.363999786376953125e+02
3.325564113415537690e+02,2.565999755859375000e+02
3.330543471514600924e+02,2.761999511718750000e+02
3.335523940279290969e+02,2.563999633789062500e+02
3.340505519709607825e+02,2.136000366210937500e+02
3.345488209805552628e+02,2.412000732421875000e+02
3.350472010567124812e+02,2.910000915527343750e+02
3.355456921994324375e+02,2.130000610351562500e+02
3.360442944087150750e+02,1.971999816894531250e+02
3.365430076845604503e+02,1.949999389648437500e+02
3.370418320269685637e+02,2.139999084472656250e+02
3.375407674359394150e+02,2.217999420166015625e+02
3.380398139114729474e+02,2.279999847412109375e+02
3.385389714535692747e+02,2.543999481201171875e+02
3.390382400622282830e+02,2.950000305175781250e+02
3.395376197374500293e+02,2.603999938964843750e+02
3.400371104792345136e+02,2.566000366210937500e+02
3.405367122875817358e+02,2.808001403808593750e+02
3.410364251624916960e+02,2.860000000000000000e+02
3.415362491039643373e+02,2.863999633789062500e+02
3.420361841119997734e+02,2.766000366210937500e+02
3.425362301865978907e+02,2.803999938964843750e+02
3.430363873277587459e+02,2.879999694824218750e+02
3.435366555354822822e+02,2.903999633789062500e+02
3.440370348097686133e+02,2.461999511718750000e+02
3.445375251506176824e+02,2.315999145507812500e+02
3.450381265580294325e+02,2.445999755859375000e+02
3.455388390320039207e+02,2.603999633789062500e+02
3.460396625725411468e+02,2.323999938964843750e+02
3.465405971796411109e+02,2.127999877929687500e+02
3.470416428533038129e+02,2.129999389648437500e+02
3.475427995935292529e+02,2.246000213623046875e+02
3.480440674003173740e+02,2.180001068115234375e+02
3.485454462736682331e+02,1.950000610351562500e+02
3.490469362135818301e+02,2.044000854492187500e+02
3.495485372200581651e+02,2.255999755859375000e+02
3.500502492930971812e+02,2.381999969482421875e+02
3.505520724326989921e+02,2.418000030517578125e+02
3.510540066388634841e+02,2.458000488281250000e+02
3.515560519115907709e+02,2.355999603271484375e+02
3.520582082508807389e+02,2.508000183105468750e+02
3.525604756567333880e+02,2.692000122070312500e+02
3.530628541291488318e+02,2.471999206542968750e+02
3.535653436681270136e+02,2.435999603271484375e+02
3.540679442736678766e+02,2.490000457763671875e+02
3.545706559457714775e+02,2.668001403808593750e+02
3.550734786844378732e+02,2.716000671386718750e+02
3.555764124896668932e+02,2.456000366210937500e+02
3.560794573614587080e+02,2.492000579833984375e+02
3.565826132998132607e+02,2.526000213623046875e+02
3.570858803047304946e+02,2.414000244140625000e+02
3.575892583762104664e+02,2.189999847412109375e+02
3.580927475142531762e+02,2.178000183105468750e+02
3.585963477188586239e+02,2.226000061035156250e+02
3.591000589900268096e+02,2.185999450683593750e+02
3.596038813277576764e+02,2.338000335693359375e+02
3.601078147320513381e+02,2.302000579833984375e+02
3.606118592029076808e+02,2.328000335693359375e+02
3.611160147403267615e+02,2.727999572753906250e+02
3.616202813443085802e+02,2.741999511718750000e+02
3.621246590148531368e+02,2.485999450683593750e+02
3.626291477519604314e+02,2.521999816894531250e+02
3.631337475556304071e+02,2.679999084472656250e+02
3.636384584258631207e+02,2.857999877929687500e+02
3.641432803626585724e+02,2.611999816894531250e+02
3.646482133660167619e+02,2.261999664306640625e+02
3.651532574359376895e+02,2.256000061035156250e+02
3.656584125724212981e+02,2.066000976562500000e+02
3.661636787754677016e+02,1.946000366210937500e+02
3.666690560450767862e+02,1.987999572753906250e+02
3.671745443812486087e+02,2.319999847412109375e+02
3.676801437839831692e+02,2.196000061035156250e+02
3.681858542532804677e+02,2.309999694824218750e+02
3.686916757891405041e+02,2.235998992919921875e+02
3.691976083915632216e+02,2.011999206542968750e+02
3.697036520605486771e+02,1.977998657226562500e+02
3.702098067960968706e+02,2.025999145507812500e+02
3.707160725982078020e+02,2.007999725341796875e+02
3.712224494668814714e+02,1.785999755859375000e+02
3.717289374021178787e+02,2.512000274658203125e+02
3.722355364039169672e+02,2.508000183105468750e+02
3.727422464722787936e+02,2.638001098632812500e+02
3.732490676072034148e+02,2.826001281738281250e+02
3.737559998086907171e+02,2.482000579833984375e+02
3.742630430767407006e+02,1.994000396728515625e+02
3.747701974113534789e+02,1.771999511718750000e+02
3.752774628125289382e+02,1.997999877929687500e+02
3.757848392802671924e+02,2.242000274658203125e+02
3.762923268145681277e+02,2.183999481201171875e+02
3.767999254154318010e+02,2.281999969482421875e+02
3.773076350828581553e+02,2.506000366210937500e+02
3.778154558168473045e+02,2.476000976562500000e+02
3.783233876173991916e+02,2.236000061035156250e+02
3.788314304845137599e+02,2.061999816894531250e+02
3.793395844181910661e+02,2.070000610351562500e+02
3.798478494184311103e+02,1.832000274658203125e+02
3.803562254852338924e+02,1.935999755859375000e+02
3.808647126185993557e+02,2.067999877929687500e+02
3.813733108185276137e+02,2.158000183105468750e+02
3.818820200850185529e+02,2.178000793457031250e+02
3.823908404180722300e+02,2.138000488281250000e+02
3.828997718176887020e+02,2.099999694824218750e+02
3.834088142838678550e+02,2.081999969482421875e+02
3.839179678166096892e+02,1.894000244140625000e+02
3.844272324159143182e+02,2.018000183105468750e+02
3.849366080817816282e+02,2.084001007080078125e+02
3.854460948142116763e+02,2.014000091552734375e+02
3.859556926132044623e+02,1.931999969482421875e+02
3.864654014787599863e+02,1.906000366210937500e+02
3.869752214108782482e+02,1.918000488281250000e+02
3.874851524095591913e+02,1.969999847412109375e+02
3.879951944748029291e+02,2.109999694824218750e+02
3.885053476066093481e+02,2.007999725341796875e+02
3.890156118049785050e+02,1.978000335693359375e+02
3.895259870699103431e+02,2.018000640869140625e+02
3.900364734014050327e+02,1.810000152587890625e+02
3.905470707994623467e+02,1.464000091552734375e+02
3.910577792640823986e+02,1.685999450683593750e+02
3.915685987952651885e+02,2.327999420166015625e+02
3.920795293930107164e+02,1.865999908447265625e+02
3.925905710573190390e+02,2.048000183105468750e+02
3.931017237881899860e+02,2.072000122070312500e+02
3.936129875856237277e+02,2.014000244140625000e+02
3.941243624496201505e+02,2.020000457763671875e+02
3.946358483801793113e+02,2.164000701904296875e+02
3.951474453773012101e+02,2.126000671386718750e+02
3.956591534409858468e+02,2.022000427246093750e+02
3.961709725712332215e+02,2.184000091552734375e+02
3.966829027680432773e+02,2.060000305175781250e+02
3.971949440314160711e+02,1.908000030517578125e+02
3.977070963613516597e+02,2.008000183105468750e+02
3.982193597578499293e+02,1.938000335693359375e+02
3.987317342209109370e+02,1.716000061035156250e+02
3.992442197505346257e+02,1.672000274658203125e+02
3.997568163467211662e+02,1.835999755859375000e+02
4.002695240094702740e+02,1.950000305175781250e+02
4.007823427387822335e+02,2.128000183105468750e+02
4.012952725346568741e+02,2.271999969482421875e+02
4.018083133970942527e+02,2.333999633789062500e+02
4.023214653260943123e+02,1.999999847412109375e+02
4.028347283216571668e+02,2.032000122070312500e+02
4.033481023837827024e+02,2.266000061035156250e+02
4.038615875124710328e+02,2.458000640869140625e+02
4.043751837077220443e+02,2.417999725341796875e+02
4.048888909695357938e+02,2.159999542236328125e+02
4.054027092979122244e+02,1.855999450683593750e+02
4.059166386928514498e+02,1.805999908447265625e+02
4.064306791543533564e+02,1.735999755859375000e+02
4.069448306824180577e+02,1.514000091552734375e+02
4.074590932770454401e+02,1.610000305175781250e+02
4.079734669382355605e+02,1.865999755859375000e+02
4.084879516659883620e+02,1.797999877929687500e+02
4.090025474603039584e+02,1.799999847412109375e+02
